poem_id,date_reviewed,title,text,topics,synopsis
1,10/2/2025,On this wondrous sea,"On this wondrous sea,
Sailing silently,
   Ho! pilot, ho!
Knowest thou the shore
Where no breakers roar,
   Where the storm is o'er?

In the silent west
Many sails at rest,
   Their anchors fast;
Thither I pilot thee, —
Land, ho! Eternity!
   Ashore at last!",life|death|eternity|sea-voyage|journey|God,"The narrator imagines her life as a voyage across the sea, the approaching shore eternity."
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
