poem_id,date_human_reviewed,author,title,text,topics,synopsis,llm_topics,llm_synopsis,date_llm_reviewed
1,10/2/2025,Emily Dickinson,On this wondrous sea,"On this wondrous sea,
Sailing silently,
   Ho! pilot, ho!
Knowest thou the shore
Where no breakers roar,
   Where the storm is o'er?

In the silent west
Many sails at rest,
   Their anchors fast;
Thither I pilot thee, â€”
Land, ho! Eternity!
   Ashore at last!",life|death|eternity|sea-voyage|journey|God,"The narrator imagines her life as a voyage across the sea, the approaching shore eternity.",,,
2,10/12/2025,Seamus Heaney,Digging,"Between my finger and my thumb
The squat pen rests; snug as a gun.
 
Under my window, a clean rasping sound
When the spade sinks into gravelly ground:
My father, digging. I look down
 
Till his straining rump among the flowerbeds
Bends low, comes up twenty years away
Stooping in rhythm through potato drills
Where he was digging.
 
The coarse boot nestled on the lug, the shaft
Against the inside knee was levered firmly.
He rooted out tall tops, buried the bright edge deep
To scatter new potatoes that we picked,
Loving their cool hardness in our hands.
 
By God, the old man could handle a spade.
Just like his old man.
 
My grandfather cut more turf in a day
Than any other man on Toner’s bog.
Once I carried him milk in a bottle
Corked sloppily with paper. He straightened up
To drink it, then fell to right away
Nicking and slicing neatly, heaving sods
Over his shoulder, going down and down
For the good turf. Digging.
 
The cold smell of potato mould, the squelch and slap
Of soggy peat, the curt cuts of an edge
Through living roots awaken in my head.
But I’ve no spade to follow men like them.
 
Between my finger and my thumb
The squat pen rests.
I’ll dig with it.",memory|labor|father|legacy,"The poet remembers the labors of his father, and resolves to carry them on through his poetry.",,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
